lema,categoria,url,definicion,ejemplos,frases
joven,adjetivo,https://diesgital.com/search?q=joven,"en sentido figurado, referido a alguien o algo que tiene poca edad o que está en las primeras etapas de su existencia o desarrollo, como por ejemplo,un animal, una empresa, un vino, etc.",A los jugadores jóvenes del equipo les suele pesar más la camiseta que a los veteranos.,y las plantas jóvenes corren el peligro de helarse más fácilmente || y prefiere trabajar en empresas jóvenes || y les gusta el vino joven de este año
joven,adjetivo,https://diesgital.com/search?q=joven,"en sentido figurado, referido a aquello que se considera característico de las personas que están en el período de vida entre la niñez y la madura, por ejemplo la energía y la vitalidad",Hay que hacer ejercicio y cuidarse para poder mantener el cuerpo joven. || No puedo creer que tu abuela tenga 80 años; se ve muy joven.,"y su padre, que ya tiene 70 años, mantiene su espíritu joven"
juego,nombre,https://diesgital.com/search?q=juego,"en sentido figurado, conjunto de planes que una persona o entidad organiza y prepara, en secreto o no, para conseguir un fin determinado",Pero creo que tarde o temprano su marido y todos descubrirán su juego.,conviene abstenernos de participar en sus juegos sucios || y tienen un juego para engañar y manipular || y no caigan en sus juegos y manipulaciones
juego,nombre,https://diesgital.com/search?q=juego,"en sentido figurado, lugar en que se unen dos o más cosas o piezas complementarias para poder moverse y funcionar de una forma determinada",Llevaba tatuada una perla en todo el juego del codo.,las fracturas que se sufren en el juego de la muñeca || esguinces en el juego del tobillo || rotura en el juego de marchas
juego,nombre,https://diesgital.com/search?q=juego,"en sentido figurado, movimiento que resulta de la unión de dos o más elementos complementarios que se juntan en una determinada posición",Hay un ligero abultamiento y endurecimiento en la zona de los puntos y siento dolor al hacer el juego del pie cuando ando.,dolor en la zona cubital de la muñeca al realizar el juego || y aproveché el juego de la llave en la cerradura de mi habitación || que permite un grado máximo de juego de la articulación
juego,nombre,https://diesgital.com/search?q=juego,"en sentido figurado, separación o hueco exagerado entre dos piezas o elementos que van juntos y que evita que se pueda realizar correctamente el movimiento derivado de dicha unión","Con las vibraciones los conectores cogen juego, y cuando te das cuenta te has quedado sin batería y se apaga.",y los mecanismos del disparador cogen juego y entonces llega un momento que se dispara solo || coge juego y golpetea la dirección || y los tornillos cogieron juego
juego,nombre,https://diesgital.com/search?q=juego,"en sentido figurado, forma o manera en la que una persona o entidad toma parte en una actividad, ya sea recreativa o de cualquier otro tipo, como, por ejemplo, deportiva","Honduras hizo un buen juego, muy práctico y tuvo la fortuna de hacer los goles seguidos.",y distribuir el juego del equipo || no entrar en sus juegos de ego y poder || castigado por su juego sucio
juego,nombre,https://diesgital.com/search?q=juego,"en sentido figurado, conjunto de cosas que se van combinando entre sí para conseguir algún efecto de carácter estético",Los juegos de agua de las monumentales fuentes son los grandes protagonistas de los jardines del Palacio Real del Real Sitio de San Ildefonso.,a hacer este juego de luces y sombras con linterna || permitirá dotar a la fuente de juegos de agua y luz || con un espectáculo de juego de luces y música
juego,nombre,https://diesgital.com/search?q=juego,"en sentido figurado, conjunto de cosas que tienen relación entre sí y que se usan a la vez, combinadas o con un fin similar",Este juego de sábanas 3 piezas es transpirable y realmente confortable.,encontrarás diferentes juegos de llaves de vaso || si eres de los que busca un juego de café original || y descubre nuestra gran variedad de juegos de cubiertos
juez,nombre,https://diesgital.com/search?q=juez,"en sentido figurado, persona (hombre o mujer), organismo, órgano, país, etc. que participa en un debate, discusión o en un proceso de evaluación; tiene la misión de tomar la decisión final","Quizás si tuvierais que ganaros el pan, para variar, la entenderíais mejor y no os erigiríais con tanta facilidad en jueces de su comportamiento",que en todo debate debe haber un juez para moderarlo || que actúan como jueces de su obra || como juez en una oposición de cátedras
